"","Gene","Variance","Expression","Decay","Rate01Median","Rate01MAD","Rate10Median","Rate10MAD","EjectMedian","EjectMAD","BurstMedian","BurstMAD","Cell","Condition"
"1","Pim1",4.2475385503268,1.50053837871097,0.00354152452769234,0.00162064839087825,3.72589592148814e-05,0.321293484006288,0.136825078167858,0.529423447949368,0.222051485067734,1.65200473171709,0.0642435314298936,"ESr1","ESCCDMSO"
"2","Pim1",6.84198607851806,2.49326599326599,0.00354152452769234,0.00282886389114005,8.39745931731774e-05,0.273709662646988,0.121427347480461,0.43068205331544,0.185779434883622,1.57933132679658,0.0782700596829497,"ESr2","ESCRDMSO"
"3","Pim1",12.4196778972737,4.40667394355216,0.0172687643348634,0.015615943408505,0.000585384594810619,0.0987466701105523,0.0178596772529233,0.278676688272079,0.0357593040241429,2.82260927229613,0.236406758400585,"aB","CtrlSpaB"
"4","Pim1",1.34383039937228,0.561185983827493,0.0172687643348634,0.00316491084513004,0.000212651982045736,0.144230289885244,0.0620079377769524,0.224482199237092,0.0867007147734197,1.57286927745045,0.183369140301762,"rB","CtrlSprB"
"5","Pim1",5.43157677125902,3.74408249355519,0.0114724026400065,0.0227228383487814,0.00380991048556618,0.0311417109242079,0.0130985545303562,0.050903396327352,0.00810271711228702,1.63518475921592,0.680400318286134,"MAST","MAST"
"6","Pim1",0.901629300567108,0.604782608695652,0.00587221498303631,0.00224200084707198,0.000459329059241186,0.0141233465576656,0.0084669972866487,0.0128776423034472,0.00481212018826451,0.917326853129784,0.344122292465856,"SKINr1","SKINr1"
"7","Pim1",1.0380082969464,0.638814016172507,0.00587221498303631,0.00242552390386461,0.000305778125495733,0.0342674708761453,0.0200494815285726,0.0278589249003355,0.0129983892267664,0.828409490714793,0.186353822328643,"SKINr2","SKINr2"
"8","Pim1",1.99493820383606,1.38709020566076,0.0127687602672945,0.0110244858864569,0.0018817690468203,0.0288581845099718,0.0130780286841621,0.0320186734925356,0.0070732347435801,1.11003680278469,0.411447208636774,"LNK","NK"
"9","Pim1",2.6654569924955,1.57263303386317,0.0172687643348634,0.0132174815949057,0.000970978862981177,0.0661867464417018,0.018196876246498,0.0815566358702827,0.0142918154997288,1.23274844688857,0.195237742988076,"CH12","WT"
"10","Pim1",43.7125491458047,8.82229012544226,0.0172687643348634,0.0142824449020031,0.000367267925814213,0.0918387938066063,0.0113802276299508,0.566039883177813,0.0502103864737042,6.16435368806807,0.350472170334023,"CH12r1","sWTr1"
"11","Pim1",1.54022254240426,0.760952139782224,0.0172687643348634,0.00427257308819139,0.00032869266477862,0.045465937492739,0.0125077538629634,0.0764503686932048,0.0146946096634418,1.68372815297939,0.235007458660132,"BMr1","WTB220BMr1"
"12","Pim1",1.24694779726428,0.612720045428734,0.0172687643348634,0.00353749951859495,0.000408079256591698,0.0478397351318228,0.0202400330110187,0.0764360794668628,0.0234972511693389,1.60753280018832,0.324891106359204,"BMr2","WTB220BMr2"
